"Lon","Lat","origin"
69.62,-35.27,"no_sperm_whale_sighting"
54.38,-35.83,"no_encounter"
40.48,-5.71,"no_encounter"
54.46,-30.06,"no_sperm_whale_sighting"
27.61,-35.28,"no_encounter"
43.46,-23.5,"no_sperm_whale_sighting"
59.83,-20.03,"no_encounter"
50.68,-23,"no_encounter"
55.2,-3.58,"no_encounter"
56.8,-8.56,"no_encounter"
76.51,-38.6,"no_sperm_whale_sighting"
82.23,-25.05,"no_encounter"
75.33,-38.61,"no_sperm_whale_sighting"
60.83,3.2,"no_encounter"
31,-31.23,"no_encounter"
74.8,-38.78,"no_sperm_whale_sighting"
76,-24,"no_sperm_whale_sighting"
76.2,-33.08,"no_sperm_whale_sighting"
66.55,-36,"no_encounter"
